Event Name,Date,Location,Type,Region,Website,Latitude,Longitude,ShortForecast
Broadway Spectacular,5/4/2024,Cornish Playhouse at Seattle Center,Music,Queen Anne / Seattle Center,https://visitseattle.org/events/broadway-spectacular/,N/A,N/A,N/A
Jessica Jackson Hutchins: Wrecked and Righteous,1/27/2024 through 5/5/2024,Frye Art Museum,Museums,Capitol Hill / Central District,https://visitseattle.org/events/jessica-jackson-hutchins-wrecked-and-righteous/,47.60719095,-122.32405377084555,Weather forecast not found for specific date
The Lion Tells His Tale,5/1/2024 through 5/5/2024,Broadway Performance Hall,Theatre,Capitol Hill / Central District,https://visitseattle.org/events/the-lion-tells-his-tale/,47.6158151,-122.32186077039998,Weather forecast not found for specific date
"Guma’ Gela:  Part Land, Part Sea, All Ancestry",Now through 5/12/2024,Wing Luke Museum,Museums,International District,https://visitseattle.org/events/guma-gela-part-land-part-sea-all-ancestry/,47.5982461,-122.3228705,Weather forecast not found for specific date
Fat Ham,4/12/2024 through 5/12/2024,Seattle Rep,Theatre,Queen Anne / Seattle Center,https://visitseattle.org/events/fat-ham/,47.6145597,-122.3285576,Weather forecast not found for specific date
A Tale of Peter Rabbit,4/25/2024 through 5/12/2024,Seattle Children's Theatre,Theatre,Queen Anne / Seattle Center,https://visitseattle.org/events/a-tale-of-peter-rabbit/,47.6204553,-122.35225726215312,Weather forecast not found for specific date
The Lehman Trilogy,4/26/2024 through 5/12/2024,ACT Theatre,Theatre,Downtown,https://visitseattle.org/events/the-lehman-trilogy/,47.6108495,-122.3323262,Weather forecast not found for specific date
The Untold Story of Sharks | National Geographic Live,5/12/2024 through 5/14/2024,Benaroya Hall,Readings & Lectures,Downtown,https://visitseattle.org/events/the-untold-story-of-sharks-national-geographic-live/,47.60811665,-122.33697040702705,Weather forecast not found for specific date
Mother,5/17/2024,415 Westlake,Music,Queen Anne / Seattle Center,https://visitseattle.org/events/mother/,47.622554,-122.3386578,Weather forecast not found for specific date
Barber Violin Concerto,5/16/2024 through 5/18/2024,Benaroya Hall,Music,Downtown,https://visitseattle.org/events/barber-violin-concerto/,47.60811665,-122.33697040702705,Weather forecast not found for specific date
The Barber of Seville,5/4/2024 through 5/24/2024,Marion Oliver McCaw Hall,Music,Queen Anne / Seattle Center,https://visitseattle.org/events/the-barber-of-seville/,47.62397705,-122.35038850536958,Weather forecast not found for specific date
Unriveled,5/10/2024 through 6/2/2024,Seattle Public Theater,Theatre,Wallingford / Greenlake,https://visitseattle.org/events/unriveled/,47.6821341,-122.3398325,Weather forecast not found for specific date
George Balenchine’s Coppelia,5/31/2024 through 6/9/2024,Marion Oliver McCaw Hall,Dance,Queen Anne / Seattle Center,https://visitseattle.org/events/george-balenchines-coppelia/,47.62397705,-122.35038850536958,Weather forecast not found for specific date
Jan Lisiecki Plays Prokofiev,6/6/2024 through 6/9/2024,Benaroya Hall,Music,Downtown,https://visitseattle.org/events/jan-lisiecki-plays-prokofiev/,47.60811665,-122.33697040702705,Weather forecast not found for specific date
Beethoven Symphony No. 5,6/13/2024 through 6/15/2024,Benaroya Hall,Music,Downtown,https://visitseattle.org/events/beethoven-symphony-no-5/,47.60811665,-122.33697040702705,Weather forecast not found for specific date
Elizabeth Malaska: All Be Your Mirror,Now through 6/16/2024,Seattle Art Museum,Museums,Downtown,https://visitseattle.org/events/elizabeth-malaska-all-be-your-mirror/,47.6077008,-122.3385575,Weather forecast not found for specific date
Joshua Bell Plays Elements Concerto,6/20/2024 through 6/22/2024,Benaroya Hall,Music,Downtown,https://visitseattle.org/events/joshua-bell-plays-elements-concerto/,47.60811665,-122.33697040702705,Weather forecast not found for specific date
"Together Again, Again!",5/31/2024 through 6/23/2024,Seattle Rep,Theatre,Queen Anne / Seattle Center,https://visitseattle.org/events/together-again-again/,47.6145597,-122.3285576,Weather forecast not found for specific date
Lip Sync for Our Rights,6/22/2024 through 6/23/2024,Marion Oliver McCaw Hall,Music,Queen Anne / Seattle Center,https://visitseattle.org/events/lip-sync-for-our-rights/,47.62397705,-122.35038850536958,Weather forecast not found for specific date
Company,6/23/2024 through 6/28/2024,The Paramount Theatre,Music,Downtown,https://visitseattle.org/events/company/,40.8697559,-73.42561952873208,Weather forecast not found for specific date
2024 University of Washington MFA + MDes Thesis Exhibition,5/24/2024 through 6/30/2024,Henry Art Gallery,Museums,University District,https://visitseattle.org/events/2024-university-of-washington-mfa-mdes-thesis-exhibition/,47.6565246,-122.31173279895636,Weather forecast not found for specific date
Spring Awakening,6/7/2024 through 6/30/2024,The 5th Avenue Theatre,Theatre,Downtown,https://visitseattle.org/events/spring-awakening/,39.7329068,-75.1300389,Weather forecast not found for specific date
Girl From The North Country,6/25/2024 through 6/30/2024,The Paramount Theatre,Music,Downtown,https://visitseattle.org/events/girl-from-the-north-country/,40.8697559,-73.42561952873208,Weather forecast not found for specific date
Nordic Utopia: African Americans in the 20th Century,3/22/2024 through 7/21/2024,National Nordic Museum,Museums,Fremont / Ballard,https://visitseattle.org/events/nordic-utopia-african-americans-in-the-20th-century/,47.6683615,-122.39177949359151,Weather forecast not found for specific date
Clue,7/9/2024 through 7/21/2024,The 5th Avenue Theatre,Theatre,Downtown,https://visitseattle.org/events/clue/,39.7329068,-75.1300389,Weather forecast not found for specific date
"Be Water, My Friend: The Teachings Of Bruce Lee",Now through 7/28/2024,Wing Luke Museum,Museums,International District,https://visitseattle.org/events/be-water-my-friend-the-teachings-of-bruce-lee/,47.5982461,-122.3228705,Weather forecast not found for specific date
Olivia Rodrigo,8/6/2024 through 8/7/2024,Climate Pledge Arena,Music,Queen Anne / Seattle Center,https://visitseattle.org/events/olivia-rodrigo/,47.6219014,-122.353990491486,Weather forecast not found for specific date
Hidden Worlds: The Films of LAIKA,Now through 8/31/2024,MoPOP Museum of Pop Culture,Museums,Queen Anne / Seattle Center,https://visitseattle.org/events/hidden-worlds-the-films-of-laika/,47.621493099999995,-122.34822527405619,Weather forecast not found for specific date
Sound Check! The Music We Make,Now through 9/14/2024,Wing Luke Museum,Museums,International District,https://visitseattle.org/events/sound-check-the-music-we-make/,47.5982461,-122.3228705,Weather forecast not found for specific date
Raul de Nieves,Now through 9/30/2024,Henry Art Gallery,Museums,University District,https://visitseattle.org/events/raul-de-nieves/,47.6565246,-122.31173279895636,Weather forecast not found for specific date
Frye Salon,Now through 10/27/2024,Frye Art Museum,Museums,Capitol Hill / Central District,https://visitseattle.org/events/frye-salon/,47.60719095,-122.32405377084555,Weather forecast not found for specific date
On Native Land: Landscapes from the Haub Family Collection,Now through 11/17/2024,Tacoma Art Museum,Museums,South,https://visitseattle.org/events/on-native-land-landscapes-from-the-haub-family-collection/,47.2475134,-122.43680521780016,Weather forecast not found for specific date
Washi Transformed New Expressions in Japanese Paper,2/2/2024 through 4/26/2026,Bellevue Arts Museum,Museums,Bellevue / Eastside,https://visitseattle.org/events/washi-transformed-new-expressions-in-japanese-paper/,-21.266983,55.4113864,Weather API response code: 404
Explore The Market,Ongoing,Pike Place Market,Festivals & Special Events,Downtown,https://visitseattle.org/events/explore-the-market/,47.60939675,-122.34141017673986,Chance Light Rain
Olympic Sculpture Park,Ongoing,Olympic Sculpture Park,Visual Arts & Galleries,Downtown,https://visitseattle.org/events/olympic-sculpture-park/,47.6162378,-122.35431328817567,Chance Light Rain
Infinite Worlds of Science Fiction,Ongoing,MoPOP Museum of Pop Culture,Museums,Queen Anne / Seattle Center,https://visitseattle.org/events/infinite-worlds-of-science-fiction/,47.621493099999995,-122.34822527405619,Chance Light Rain
"Wild Blue Angel: Hendrix Abroad, 1966-70",Ongoing,MoPOP Museum of Pop Culture,Museums,Queen Anne / Seattle Center,https://visitseattle.org/events/wild-blue-angel-hendrix-abroad-1966-70/,47.621493099999995,-122.34822527405619,Chance Light Rain
John Grade: Middle Fork,Ongoing,Seattle Art Museum,Museums,Downtown,https://visitseattle.org/events/john-grade-middle-fork/,47.6077008,-122.3385575,Chance Light Rain
Scared to Death: The Thrill of Horror Film,Ongoing,MoPOP Museum of Pop Culture,Museums,Queen Anne / Seattle Center,https://visitseattle.org/events/scared-to-death-the-thrill-of-horror-film/,47.621493099999995,-122.34822527405619,Chance Light Rain
Nirvana: Taking Punk To the Masses,Ongoing,MoPOP Museum of Pop Culture,Museums,Queen Anne / Seattle Center,https://visitseattle.org/events/nirvana-taking-punk-to-the-masses/,47.621493099999995,-122.34822527405619,Chance Light Rain
Vietnam Divided: War Above Southeast Asia,Ongoing,The Museum of Flight,Museums,South Seattle,https://visitseattle.org/events/vietnam-divided-war-above-southeast-asia/,32.70030575,-94.94716355,Patchy Fog
Science Fiction and Fantasy Hall of Fame,Ongoing,MoPOP Museum of Pop Culture,Museums,Queen Anne / Seattle Center,https://visitseattle.org/events/science-fiction-and-fantasy-hall-of-fame/,47.621493099999995,-122.34822527405619,Chance Light Rain
Cambodian Cultural Museum and Killing Fields Memorial,Ongoing,Wing Luke Museum,Museums,International District,https://visitseattle.org/events/cambodian-cultural-museum-and-killing-fields-memorial/,47.5982461,-122.3228705,Chance Light Rain
Honoring Our Journey,Ongoing,Wing Luke Museum,Museums,International District,https://visitseattle.org/events/honoring-our-journey/,47.5982461,-122.3228705,Chance Light Rain
Spotlight on Dale Chihuly: Works from Museum of Glass Permanent Collection,Ongoing,Museum of Glass,Museums,South,https://visitseattle.org/events/spotlight-on-dale-chihuly-works-from-museum-of-glass-permanent-collection/,47.24582405,-122.43381971536058,Chance Light Rain
Great Hall of Washington History,Ongoing,Washington State History Museum,Museums,South,https://visitseattle.org/events/great-hall-of-washington-history/,47.2447212,-122.43608807502436,Chance Light Rain
Humboldt Penguin Exhibit,Ongoing,Woodland Park Zoo,Museums,Wallingford / Greenlake,https://visitseattle.org/events/humboldt-penguin-exhibit/,47.669143399999996,-122.35096188536495,Chance Light Rain
Giant Pacific Octopus,Ongoing,Seattle Aquarium,Museums,Downtown,https://visitseattle.org/events/giant-pacific-octopus/,47.60762475,-122.34322017076866,Chance Light Rain
Meet our Marine Mammals,Ongoing,Seattle Aquarium,Museums,Downtown,https://visitseattle.org/events/meet-our-marine-mammals/,47.60762475,-122.34322017076866,Chance Light Rain
Window on Washington Waters,Ongoing,Seattle Aquarium,Museums,Downtown,https://visitseattle.org/events/window-on-washington-waters/,47.60762475,-122.34322017076866,Chance Light Rain
Guitar Gallery,Ongoing,MoPOP Museum of Pop Culture,Museums,Queen Anne / Seattle Center,https://visitseattle.org/events/guitar-gallery/,47.621493099999995,-122.34822527405619,Chance Light Rain
Nordic Journeys,Ongoing,National Nordic Museum,Museums,Fremont / Ballard,https://visitseattle.org/events/nordic-journeys/,47.6683615,-122.39177949359151,Chance Light Rain
Baird’s beaked whale,Ongoing,Burke Museum,Museums,University District,https://visitseattle.org/events/bairds-beaked-whale/,47.6605211,-122.31156049949824,Chance Light Rain
Amazing Life,Ongoing,Burke Museum,Museums,University District,https://visitseattle.org/events/amazing-life/,47.6605211,-122.31156049949824,Chance Light Rain
Culture is Living,Ongoing,Burke Museum,Museums,University District,https://visitseattle.org/events/culture-is-living/,47.6605211,-122.31156049949824,Chance Light Rain
Fossils Uncovered,Ongoing,Burke Museum,Museums,University District,https://visitseattle.org/events/fossils-uncovered/,47.6605211,-122.31156049949824,Chance Light Rain
Northwest Native Art,Ongoing,Burke Museum,Museums,University District,https://visitseattle.org/events/northwest-native-art/,47.6605211,-122.31156049949824,Chance Light Rain
Our Material World,Ongoing,Burke Museum,Museums,University District,https://visitseattle.org/events/our-material-world/,47.6605211,-122.31156049949824,Chance Light Rain
Apollo,Ongoing,The Museum of Flight,Museums,South Seattle,https://visitseattle.org/events/apollo/,32.70030575,-94.94716355,Patchy Fog
Art and Life Along the Northwest Coast,Ongoing,Seattle Art Museum,Museums,Downtown,https://visitseattle.org/events/art-and-life-along-the-northwest-coast/,47.6077008,-122.3385575,Chance Light Rain
Washington: My Home,Ongoing,Washington State History Museum,Museums,South,https://visitseattle.org/events/washington-my-home/,47.2447212,-122.43608807502436,Chance Light Rain
Sensory-Friendly Programs,Ongoing,MoPOP Museum of Pop Culture,Festivals & Special Events,Queen Anne / Seattle Center,https://visitseattle.org/events/sensory-friendly-programs/,47.621493099999995,-122.34822527405619,Chance Light Rain
Dale Chihuly at Tacoma Art Museum,Ongoing,Tacoma Art Museum,Museums,South,https://visitseattle.org/events/dale-chihuly-at-tacoma-art-museum/,47.2475134,-122.43680521780016,Chance Light Rain
Be/longing: Contemporary Asian Art,Ongoing,Seattle Asian Art Museum,Museums,Capitol Hill / Central District,https://visitseattle.org/events/be-longing-contemporary-asian-art/,47.63029565,-122.31413540328062,Chance Light Rain
Porcelain Room,Ongoing,Seattle Art Museum,Museums,Downtown,https://visitseattle.org/events/porcelain-room/,47.6077008,-122.3385575,Chance Light Rain
Life on the Edge,Ongoing,Seattle Aquarium,Museums,Downtown,https://visitseattle.org/events/life-on-the-edge/,47.60762475,-122.34322017076866,Chance Light Rain
Tropical Pacific,Ongoing,Seattle Aquarium,Museums,Downtown,https://visitseattle.org/events/tropical-pacific/,47.60762475,-122.34322017076866,Chance Light Rain
Underwater Dome,Ongoing,Seattle Aquarium,Museums,Downtown,https://visitseattle.org/events/underwater-dome/,47.60762475,-122.34322017076866,Chance Light Rain
Meet the Animals,Ongoing,Woodland Park Zoo,Museums,Wallingford / Greenlake,https://visitseattle.org/events/meet-the-animals/,47.669143399999996,-122.35096188536495,Chance Light Rain
Chihuly Garden and Glass,Ongoing,Chihuly Garden and Glass,Museums,Queen Anne / Seattle Center,https://visitseattle.org/events/chihuly-garden-and-glass/,47.6205296,-122.35020712496446,Chance Light Rain
Discover Ancient Coast Salish Culture,Ongoing,Hibulb Cultural Center,Museums,North,https://visitseattle.org/events/discover-ancient-coast-salish-culture/,48.05373125,-122.20152426611563,Chance Light Rain
Savor Seattle Signature Tour: Pike Place Market,Ongoing,Pike Place Market,Tours & Attractions,Downtown,https://visitseattle.org/events/savor-seattle-signature-tour-pike-place-market/,47.60939675,-122.34141017673986,Chance Light Rain
Untold Stories: World War II at 75,Ongoing,The Museum of Flight,Museums,South Seattle,https://visitseattle.org/events/untold-stories-world-war-ii-at-75/,32.70030575,-94.94716355,Patchy Fog
Bezos Center for Innovation,Ongoing,Museum of History & Industry,Museums,Queen Anne / Seattle Center,https://visitseattle.org/events/bezos-center-for-innovation/,47.6275114,-122.3367506,Chance Light Rain
Maritime Seattle,Ongoing,Museum of History & Industry,Museums,Queen Anne / Seattle Center,https://visitseattle.org/events/maritime-seattle/,47.6275114,-122.3367506,Chance Light Rain
True Northwest: The Seattle Journey,Ongoing,Museum of History & Industry,Museums,Queen Anne / Seattle Center,https://visitseattle.org/events/true-northwest-the-seattle-journey/,47.6275114,-122.3367506,Chance Light Rain
Metaphor into Form: Art in the Era of the Pilchuck Glass School,Ongoing,Tacoma Art Museum,Museums,South,https://visitseattle.org/events/metaphor-into-form-art-in-the-era-of-the-pilchuck-glass-school/,47.2475134,-122.43680521780016,Chance Light Rain
Winter in the West,Ongoing,Tacoma Art Museum,Museums,South,https://visitseattle.org/events/winter-in-the-west/,47.2475134,-122.43680521780016,Chance Light Rain
Ballard Farmers Market – Sunday,Ongoing,Ballard Farmers Market,Festivals & Special Events,Fremont / Ballard,https://visitseattle.org/events/ballard-farmers-market-sunday/,N/A,N/A,N/A
Capitol Hill Farmers Market – Sunday,Ongoing,Capitol Hill Farmers Market,Festivals & Special Events,Capitol Hill / Central District,https://visitseattle.org/events/capitol-hill-farmers-market-sunday/,47.618892450000004,-122.32016705491071,Chance Light Rain
University District Farmers Market,Ongoing,University District Farmers Market,Festivals & Special Events,University District,https://visitseattle.org/events/university-district-farmers-market/,47.665682950000004,-122.3130697496926,Chance Light Rain
Fremont Sunday Market,Ongoing,Fremont Farmers Market,Festivals & Special Events,Fremont / Ballard,https://visitseattle.org/events/fremont-sunday-market/,47.6637543,-122.3330234,Chance Light Rain
Chihuly Garden and Glass Gallery Talks & Tours,Ongoing,Chihuly Garden and Glass,Tours & Attractions,Queen Anne / Seattle Center,https://visitseattle.org/events/chihuly-garden-and-glass-gallery-talks-tours/,47.6205296,-122.35020712496446,Chance Light Rain
Boundless: Stories of Asian Art,Ongoing,Seattle Asian Art Museum,Museums,Capitol Hill / Central District,https://visitseattle.org/events/boundless-stories-of-asian-art/,47.63029565,-122.31413540328062,Chance Light Rain
Kenzan Tsutakawa-Chinn: Gather,Ongoing,Seattle Asian Art Museum,Museums,Capitol Hill / Central District,https://visitseattle.org/events/kenzan-tsutakawa-chinn-gather/,47.63029565,-122.31413540328062,Chance Light Rain
Art Walk Edmonds | Every Third Thursday,Ongoing,Cascadia Art Museum,Visual Arts & Galleries,North,https://visitseattle.org/events/art-walk-edmonds-every-third-thursday/,47.8104565,-122.3839448,Chance Light Rain
Rise Up: Stonewall and the LGBTQ Rights Movement,Ongoing,MoPOP Museum of Pop Culture,Museums,Queen Anne / Seattle Center,https://visitseattle.org/events/rise-up-stonewall-and-the-lgbtq-rights-movement/,47.621493099999995,-122.34822527405619,Chance Light Rain
Show Me Seattle Tours,Ongoing,"Seattle, WA",Tours & Attractions,Downtown,https://visitseattle.org/events/show-me-seattle-tours/,47.6038321,-122.330062,Chance Light Rain
LeMay – America’s Car Museum,Ongoing,LeMay - America's Car Museum,Museums,South,https://visitseattle.org/events/lemay-americas-car-museum/,47.2362108,-122.43044382406997,Chance Light Rain
History Link Tours,Ongoing,"Seattle, WA",Tours & Attractions,Downtown,https://visitseattle.org/events/history-link-tours/,47.6038321,-122.330062,Chance Light Rain
West Seattle Farmers Market – Sundays,Ongoing,West Seattle Farmers Market,Festivals & Special Events,West Seattle,https://visitseattle.org/events/west-seattle-farmers-market-sundays/,47.5620654,-122.3869194,Chance Light Rain
REMEMBRANCE: The Legacy of Executive Order 9066 in Washington State,Ongoing,Washington State History Museum,Museums,South,https://visitseattle.org/events/remembrance-the-legacy-of-executive-order-9066-in-washington-state/,47.2447212,-122.43608807502436,Chance Light Rain
Pioneer Square First Thursday Art Walk,Ongoing,Pioneer Square,Visual Arts & Galleries,Pioneer Square,https://visitseattle.org/events/pioneer-square-first-thursday-art-walk/,45.5189007,-122.67929660431365,Chance Rain Showers
Deities and Demons: Supernatural in Japanese Art,Ongoing,Seattle Art Museum,Museums,Downtown,https://visitseattle.org/events/deities-and-demons-supernatural-in-japanese-art/,47.6077008,-122.3385575,Chance Light Rain
American Art: The Stories We Carry,Ongoing,Seattle Art Museum,Museums,Downtown,https://visitseattle.org/events/american-art-the-stories-we-carry/,47.6077008,-122.3385575,Chance Light Rain
Pacific Species,Ongoing,Seattle Art Museum,Museums,Downtown,https://visitseattle.org/events/pacific-species/,47.6077008,-122.3385575,Chance Light Rain
Reverberations: Contemporary Art and Modern Classics,Ongoing,Seattle Art Museum,Museums,Downtown,https://visitseattle.org/events/reverberations-contemporary-art-and-modern-classics/,47.6077008,-122.3385575,Chance Light Rain
75 Years of Porsche,Ongoing,LeMay - America's Car Museum,Museums,South,https://visitseattle.org/events/75-years-of-porsche/,47.2362108,-122.43044382406997,Chance Light Rain
Manazma Sheen,Ongoing,Sea Monster Lounge,Music,Wallingford / Greenlake,https://visitseattle.org/events/manazma-sheen/,47.6615049,-122.332319,Chance Light Rain
